 "x" , "p" , "o" ,
 "蒙其·D·路飞" , "http://kg.course/talkop-vivre-card/0年前" , "从蛋糕岛逃脱后，悬赏金涨至15亿贝里！" ,
 "蒙其·D·路飞" , "http://kg.course/talkop-vivre-card/0年前" , "德雷斯罗萨的战斗结束后，悬赏金涨至5亿贝里！" ,
 "蒙其·D·路飞" , "http://kg.course/talkop-vivre-card/0年前" , 草帽一伙再次集结 ,
 "蒙其·D·路飞" , "http://kg.course/talkop-vivre-card/12年前" , 与艾斯、萨波相遇 ,
 "蒙其·D·路飞" , "http://kg.course/talkop-vivre-card/12年前" , 吃下“橡胶果实”，成为了橡皮人 ,
 "蒙其·D·路飞" , "http://kg.course/talkop-vivre-card/12年前" , 被香克斯托付了那顶草帽 ,
 "蒙其·D·路飞" , "http://kg.course/talkop-vivre-card/2年前" , 扬起海贼旗，从风车村出海！ ,
 "蒙其·D·路飞" , "http://kg.course/talkop-vivre-card/？年前" , "因为顶上战争及其后的行动，悬赏金涨至4亿贝里！" ,
 罗罗诺亚·索隆 , "http://kg.course/talkop-vivre-card/0年前" , 与草帽一伙再次汇合 ,
 罗罗诺亚·索隆 , "http://kg.course/talkop-vivre-card/0年前" , "德雷斯罗萨一战结束后，悬赏金涨至3亿2000万贝里" ,
 罗罗诺亚·索隆 , "http://kg.course/talkop-vivre-card/2年前" , "在司法岛上活跃，悬赏金涨至1亿2000万贝里" ,
 罗罗诺亚·索隆 , "http://kg.course/talkop-vivre-card/2年前" , 在威士忌峰打赏金猎人，百人斩 ,
 罗罗诺亚·索隆 , "http://kg.course/talkop-vivre-card/2年前" , "在阿拉巴斯坦击败达兹，悬赏金6千万贝里" ,
 罗罗诺亚·索隆 , "http://kg.course/talkop-vivre-card/2年前" , 被路飞招募，加入草帽一伙 ,
 罗罗诺亚·索隆 , "http://kg.course/talkop-vivre-card/？年前" , 出海成为赏金猎人 ,
 罗罗诺亚·索隆 , "http://kg.course/talkop-vivre-card/？年前" , 进入霜月村的一心道场 ,
 娜美 , "http://kg.course/talkop-vivre-card/0年前" , 与草帽一伙再度汇合 ,
 娜美 , "http://kg.course/talkop-vivre-card/0年前" , "德雷斯罗萨事件之后，悬赏金涨至6600万贝里" ,
 娜美 , "http://kg.course/talkop-vivre-card/2年前" , 和路飞等人相遇 ,
 娜美 , "http://kg.course/talkop-vivre-card/2年前" , "在司法岛胡月，悬赏金1600万贝里" ,
 娜美 , "http://kg.course/talkop-vivre-card/2年前" , 在空岛“维萨利亚”学习气候科学 ,
 娜美 , "http://kg.course/talkop-vivre-card/2年前" , 在空岛维沙利亚学习天候科学 ,
 娜美 , "http://kg.course/talkop-vivre-card/2年前" , "由于在司法岛大展身手，悬赏金变为1600万贝里！！" ,
 娜美 , "http://kg.course/talkop-vivre-card/2年前" , 离开恶龙麾下，正式加入草帽一伙 ,
 娜美 , "http://kg.course/talkop-vivre-card/2年前" , 脱离恶龙手下，正式加入“草帽一伙” ,
 娜美 , "http://kg.course/talkop-vivre-card/10年前" , 养母贝尔梅尔惨遭杀害 ,
 娜美 , "http://kg.course/talkop-vivre-card/10年前" , 养母贝尔梅尔被杀 ,
 娜美 , "http://kg.course/talkop-vivre-card/10年前" , 加入恶龙一伙 ,
 娜美 , "http://kg.course/talkop-vivre-card/20年前" , 在“东海”欧伊科特王国被贝尔梅尔捡到 ,
 乌索普 , "http://kg.course/talkop-vivre-card/0年前" , 再度与草帽一伙汇合 ,
 乌索普 , "http://kg.course/talkop-vivre-card/0年前" , "在德雷斯罗萨的骚动过后，悬赏金涨至2亿贝里" ,
 乌索普 , "http://kg.course/talkop-vivre-card/2年前" , 乌索普海贼团解散，加入”草帽一伙” ,
 乌索普 , "http://kg.course/talkop-vivre-card/2年前" , 乌索普海贼团解散，加入草帽一伙 ,
 乌索普 , "http://kg.course/talkop-vivre-card/2年前" , "作为“狙击之王”狙击王，得到3千万贝里的悬赏金" ,
 乌索普 , "http://kg.course/talkop-vivre-card/2年前" , "作为”狙击王”被悬赏3000万贝里" ,
 乌索普 , "http://kg.course/talkop-vivre-card/2年前" , 再次加入”草帽一伙” ,
 乌索普 , "http://kg.course/talkop-vivre-card/2年前" , 再次加入草帽一伙 ,
 乌索普 , "http://kg.course/talkop-vivre-card/2年前" , "在Water Seven暂时离开”草帽一伙”" ,
 乌索普 , "http://kg.course/talkop-vivre-card/2年前" , 在七水之都一度退出草帽一伙 ,
 乌索普 , "http://kg.course/talkop-vivre-card/？年前" , 乌索普海贼团成立 ,
 乌索普 , "http://kg.course/talkop-vivre-card/？年前" , 卧病的母亲去世 ,
 乌索普 , "http://kg.course/talkop-vivre-card/？年前" , 卧病的母亲过世 ,
 乌索普 , "http://kg.course/talkop-vivre-card/7年前" , 乌索普海贼团成立 ,
 山治 , "http://kg.course/talkop-vivre-card/0年前" , "从蛋糕岛逃脱后，悬赏金涨至3亿3000万贝里！" ,
 山治 , "http://kg.course/talkop-vivre-card/0年前" , 再度与草帽一伙汇合！ ,
 山治 , "http://kg.course/talkop-vivre-card/0年前" , "因为德雷斯罗萨的骚动，悬赏金涨至1亿7700万贝里！" ,
 山治 , "http://kg.course/talkop-vivre-card/2年前" , 与路飞邂逅，作为厨师加入”草帽一伙” ,
 山治 , "http://kg.course/talkop-vivre-card/2年前" , 离开芭拉蒂，加入草帽一伙 ,
 山治 , "http://kg.course/talkop-vivre-card/2年前" , "经历过司法岛的战斗，赏金7千700万贝里!" ,
 山治 , "http://kg.course/talkop-vivre-card/2年前" , "被悬赏7700万贝里" ,
 山治 , "http://kg.course/talkop-vivre-card/？年前" , 在东海登上客船奥比特号 ,
 山治 , "http://kg.course/talkop-vivre-card/？年前" , 开始吸烟 ,
 山治 , "http://kg.course/talkop-vivre-card/？年前" , 担任海上餐厅”芭拉蒂”的副厨师长 ,
 山治 , "http://kg.course/talkop-vivre-card/？年前" , 离开杰尔马王国，在奥比特号上做实习厨师 ,
 山治 , "http://kg.course/talkop-vivre-card/11年前" , 和哲夫一起开了海上餐厅芭拉蒂 ,
 山治 , "http://kg.course/talkop-vivre-card/11年前" , "遭到厨师海贼团和暴风雨的袭击，和哲夫在无人岛生活了85天" ,
